[+] Logging output to: rockyou_results.txt
[+] Session started at 2025-12-12 20:51:30

[+] Starting brute force with 16 thread(s) on 14344390 candidates...
[.] 1/14344390 (0.0%) | Elapsed: 7.1s | Avg: 187.81ms/check | Rate: 0.1 checks/s
[.] 3/14344390 (0.0%) | Elapsed: 7.1s | Avg: 187.86ms/check | Rate: 0.4 checks/s
[.] 2/14344390 (0.0%) | Elapsed: 7.1s | Avg: 187.86ms/check | Rate: 0.3 checks/s
[.] 4/14344390 (0.0%) | Elapsed: 7.1s | Avg: 187.86ms/check | Rate: 0.6 checks/s
[.] 97/14344390 (0.0%) | Elapsed: 8.2s | Avg: 191.84ms/check | Rate: 11.8 checks/s
[.] 192/14344390 (0.0%) | Elapsed: 9.2s | Avg: 191.70ms/check | Rate: 20.8 checks/s
[.] 273/14344390 (0.0%) | Elapsed: 10.3s | Avg: 191.48ms/check | Rate: 26.5 checks/s
[.] 363/14344390 (0.0%) | Elapsed: 11.3s | Avg: 191.53ms/check | Rate: 32.1 checks/s
[.] 449/14344390 (0.0%) | Elapsed: 12.4s | Avg: 191.29ms/check | Rate: 36.3 checks/s
[.] 450/14344390 (0.0%) | Elapsed: 12.4s | Avg: 191.28ms/check | Rate: 36.3 checks/s
[.] 537/14344390 (0.0%) | Elapsed: 13.4s | Avg: 191.20ms/check | Rate: 40.1 checks/s
[.] 625/14344390 (0.0%) | Elapsed: 14.5s | Avg: 191.10ms/check | Rate: 43.2 checks/s
[.] 712/14344390 (0.0%) | Elapsed: 15.5s | Avg: 191.06ms/check | Rate: 45.9 checks/s
[.] 800/14344390 (0.0%) | Elapsed: 16.5s | Avg: 191.02ms/check | Rate: 48.5 checks/s
[.] 881/14344390 (0.0%) | Elapsed: 17.5s | Avg: 191.10ms/check | Rate: 50.3 checks/s
[.] 965/14344390 (0.0%) | Elapsed: 18.5s | Avg: 191.10ms/check | Rate: 52.1 checks/s
[.] 1000/14344390 (0.0%) | Elapsed: 18.9s | Avg: 191.10ms/check | Rate: 52.8 checks/s
[.] 1085/14344390 (0.0%) | Elapsed: 19.9s | Avg: 191.13ms/check | Rate: 54.4 checks/s
[.] 1169/14344390 (0.0%) | Elapsed: 21.0s | Avg: 191.29ms/check | Rate: 55.8 checks/s
[.] 1251/14344390 (0.0%) | Elapsed: 22.0s | Avg: 191.27ms/check | Rate: 56.9 checks/s
[.] 1341/14344390 (0.0%) | Elapsed: 23.0s | Avg: 191.23ms/check | Rate: 58.3 checks/s
[.] 1425/14344390 (0.0%) | Elapsed: 24.1s | Avg: 191.24ms/check | Rate: 59.2 checks/s
[.] 1509/14344390 (0.0%) | Elapsed: 25.1s | Avg: 191.51ms/check | Rate: 60.2 checks/s
[.] 1595/14344390 (0.0%) | Elapsed: 26.1s | Avg: 191.48ms/check | Rate: 61.2 checks/s
[.] 1681/14344390 (0.0%) | Elapsed: 27.1s | Avg: 191.42ms/check | Rate: 62.0 checks/s
[.] 1766/14344390 (0.0%) | Elapsed: 28.1s | Avg: 191.45ms/check | Rate: 62.8 checks/s
[.] 1855/14344390 (0.0%) | Elapsed: 29.2s | Avg: 191.43ms/check | Rate: 63.6 checks/s
[.] 1936/14344390 (0.0%) | Elapsed: 30.2s | Avg: 191.51ms/check | Rate: 64.2 checks/s
[.] 2000/14344390 (0.0%) | Elapsed: 31.0s | Avg: 191.83ms/check | Rate: 64.6 checks/s
[.] 2079/14344390 (0.0%) | Elapsed: 32.0s | Avg: 192.38ms/check | Rate: 65.0 checks/s
[.] 2080/14344390 (0.0%) | Elapsed: 32.0s | Avg: 192.38ms/check | Rate: 65.0 checks/s
[.] 2163/14344390 (0.0%) | Elapsed: 33.0s | Avg: 192.46ms/check | Rate: 65.5 checks/s
[.] 2248/14344390 (0.0%) | Elapsed: 34.0s | Avg: 192.41ms/check | Rate: 66.1 checks/s
[.] 2332/14344390 (0.0%) | Elapsed: 35.0s | Avg: 192.36ms/check | Rate: 66.6 checks/s
[.] 2415/14344390 (0.0%) | Elapsed: 36.0s | Avg: 192.50ms/check | Rate: 67.0 checks/s
[.] 2492/14344390 (0.0%) | Elapsed: 37.0s | Avg: 192.78ms/check | Rate: 67.3 checks/s
[.] 2493/14344390 (0.0%) | Elapsed: 37.0s | Avg: 192.78ms/check | Rate: 67.3 checks/s
[.] 2578/14344390 (0.0%) | Elapsed: 38.0s | Avg: 192.81ms/check | Rate: 67.8 checks/s
[.] 2579/14344390 (0.0%) | Elapsed: 38.0s | Avg: 192.81ms/check | Rate: 67.8 checks/s
[.] 2663/14344390 (0.0%) | Elapsed: 39.1s | Avg: 192.76ms/check | Rate: 68.1 checks/s
[.] 2746/14344390 (0.0%) | Elapsed: 40.1s | Avg: 192.71ms/check | Rate: 68.5 checks/s
[.] 2831/14344390 (0.0%) | Elapsed: 41.1s | Avg: 192.68ms/check | Rate: 68.9 checks/s
[.] 2832/14344390 (0.0%) | Elapsed: 41.1s | Avg: 192.67ms/check | Rate: 68.9 checks/s
[.] 2919/14344390 (0.0%) | Elapsed: 42.2s | Avg: 192.66ms/check | Rate: 69.2 checks/s
[.] 3000/14344390 (0.0%) | Elapsed: 43.1s | Avg: 192.66ms/check | Rate: 69.6 checks/s
[.] 3085/14344390 (0.0%) | Elapsed: 44.1s | Avg: 192.63ms/check | Rate: 69.9 checks/s
[.] 3172/14344390 (0.0%) | Elapsed: 45.2s | Avg: 192.60ms/check | Rate: 70.2 checks/s
[.] 3173/14344390 (0.0%) | Elapsed: 45.2s | Avg: 192.59ms/check | Rate: 70.3 checks/s
[.] 3255/14344390 (0.0%) | Elapsed: 46.2s | Avg: 192.56ms/check | Rate: 70.5 checks/s
[.] 3342/14344390 (0.0%) | Elapsed: 47.2s | Avg: 192.53ms/check | Rate: 70.8 checks/s
[.] 3343/14344390 (0.0%) | Elapsed: 47.2s | Avg: 192.53ms/check | Rate: 70.8 checks/s
[.] 3428/14344390 (0.0%) | Elapsed: 48.2s | Avg: 192.56ms/check | Rate: 71.1 checks/s
[.] 3510/14344390 (0.0%) | Elapsed: 49.3s | Avg: 192.64ms/check | Rate: 71.2 checks/s
[.] 3595/14344390 (0.0%) | Elapsed: 50.3s | Avg: 192.64ms/check | Rate: 71.5 checks/s
[.] 3596/14344390 (0.0%) | Elapsed: 50.3s | Avg: 192.64ms/check | Rate: 71.5 checks/s
[.] 3680/14344390 (0.0%) | Elapsed: 51.3s | Avg: 192.62ms/check | Rate: 71.7 checks/s
[.] 3765/14344390 (0.0%) | Elapsed: 52.3s | Avg: 192.60ms/check | Rate: 72.0 checks/s
[.] 3766/14344390 (0.0%) | Elapsed: 52.3s | Avg: 192.60ms/check | Rate: 72.0 checks/s
[.] 3767/14344390 (0.0%) | Elapsed: 52.3s | Avg: 192.60ms/check | Rate: 72.0 checks/s
[.] 3850/14344390 (0.0%) | Elapsed: 53.3s | Avg: 192.57ms/check | Rate: 72.2 checks/s
